Modelo,RMSE,MAE,R2,MAPE,R2_train,Tiempo_entrenamiento_s
Random Forest,0.505,0.3297,0.8054,0.1904,0.9727,47.01
Ridge,0.6811,0.5041,0.646,0.3073,0.6714,0.07
